Datetime,0700.HK,2318.HK,1211.HK,1810.HK,2269.HK,2018.HK
2026-03-13 02:00:00+00:00,553.5,62.900001525878906,98.19999694824219,33.400001525878906,35.2400016784668,32.380001068115234
2026-03-13 02:15:00+00:00,554.5,62.849998474121094,97.8499984741211,33.36000061035156,35.279998779296875,32.47999954223633
2026-03-13 02:30:00+00:00,556.0,62.70000076293945,97.69999694824219,33.439998626708984,35.2599983215332,32.34000015258789
2026-03-13 02:45:00+00:00,555.0,62.75,97.8499984741211,33.400001525878906,34.97999954223633,32.34000015258789
2026-03-13 03:00:00+00:00,553.5,62.599998474121094,97.6500015258789,33.400001525878906,34.939998626708984,32.2400016784668
2026-03-13 03:15:00+00:00,552.5,62.70000076293945,97.5,33.400001525878906,34.91999816894531,32.15999984741211
2026-03-13 03:30:00+00:00,551.5,62.75,97.75,33.34000015258789,34.86000061035156,32.119998931884766
2026-03-13 03:45:00+00:00,552.5,62.650001525878906,97.94999694824219,33.400001525878906,34.7400016784668,32.119998931884766
2026-03-13 05:00:00+00:00,551.0,62.650001525878906,97.69999694824219,33.459999084472656,34.720001220703125,32.15999984741211
2026-03-13 05:15:00+00:00,551.5,62.599998474121094,98.19999694824219,33.459999084472656,34.68000030517578,32.18000030517578
2026-03-13 05:30:00+00:00,552.5,62.599998474121094,97.9000015258789,33.52000045776367,34.7400016784668,32.29999923706055
2026-03-13 05:45:00+00:00,551.5,62.54999923706055,97.80000305175781,33.5,34.70000076293945,32.2599983215332
2026-03-13 06:00:00+00:00,551.0,62.45000076293945,97.5999984741211,33.439998626708984,34.65999984741211,32.279998779296875
2026-03-13 06:15:00+00:00,549.5,62.400001525878906,97.44999694824219,33.439998626708984,34.5,32.18000030517578
2026-03-13 06:30:00+00:00,549.0,62.25,97.44999694824219,33.29999923706055,34.540000915527344,32.15999984741211
2026-03-13 06:45:00+00:00,550.0,62.349998474121094,97.3499984741211,33.34000015258789,34.400001525878906,32.31999969482422
