2026-04-15 09:01:15 | LiveTradingLoop | INFO | HistoryPriming[0688.HK]: downloaded 1432 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[2318.HK]: downloaded 1637 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[2269.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0388.HK]: downloaded 1639 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0941.HK]: downloaded 1647 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[1211.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[2018.HK]: downloaded 1422 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0005.HK]: downloaded 1652 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[1810.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[1024.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[1299.HK]: downloaded 1643 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0960.HK]: downloaded 1587 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[2688.HK]: downloaded 1592 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0700.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[9988.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0939.HK]: downloaded 1650 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[1109.HK]: downloaded 1589 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | HistoryPriming[0175.HK]: downloaded 1655 bars
2026-04-15 09:01:16 | LiveTradingLoop | INFO | History priming completed for 19 symbols in HK mode
2026-04-15 09:01:16 | LiveTradingLoop | INFO | Sentiment Synced: score=-0.20, summary=N/A
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [RUN_CYCLE] symbols=19 polling_sec=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0700.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=9988.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=3690.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=1024.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=2318.HK buffer_len=1637 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=1299.HK buffer_len=1643 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0939.HK buffer_len=1650 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0005.HK buffer_len=1652 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0388.HK buffer_len=1639 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0960.HK buffer_len=1587 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=1109.HK buffer_len=1589 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0941.HK buffer_len=1647 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0175.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=1810.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=2688.HK buffer_len=1592 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=2269.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=1211.HK buffer_len=1655 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=2018.HK buffer_len=1422 lookback=60
2026-04-15 09:01:16 | LiveTradingLoop | INFO | [CYCLE_START] symbol=0688.HK buffer_len=1432 lookback=60
2026-04-15 09:01:17 | LiveTradingLoop | INFO | Buffer[0941.HK] size: 1647 source=YF_LIVE
2026-04-15 09:01:17 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:17 | KiroAlphaEngine | INFO | [WFA][0941.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:17 | DataPreparer | INFO | Prepared tensors with X=(1587, 60, 26) and y=(1587, 1)
2026-04-15 09:01:17 | LiveTradingLoop | INFO | [0941.HK] Fitted with 1647 bars - OK
2026-04-15 09:01:17 | ModelManager | INFO | Prediction (scaled=0.090842, inverse=71.782004, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=b88d28be symbol=0941.HK pred=71.7820 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[1211.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][1211.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [1211.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.122494, inverse=96.722174, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=d007eba3 symbol=1211.HK pred=96.7222 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[1024.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][1024.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [1024.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.052124, inverse=41.274185, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=0413012b symbol=1024.HK pred=41.2742 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[0688.HK] size: 1432 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][0688.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1372, 60, 26) and y=(1372, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [0688.HK] Fitted with 1432 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.024182, inverse=19.257758, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=d0357aac symbol=0688.HK pred=19.2578 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[2688.HK] size: 1592 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][2688.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1532, 60, 26) and y=(1532, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [2688.HK] Fitted with 1592 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.069612, inverse=55.053889, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=b0964ca1 symbol=2688.HK pred=55.0539 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[1810.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][1810.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [1810.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.036968, inverse=29.332494, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=ada5f531 symbol=1810.HK pred=29.3325 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[9988.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][9988.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [9988.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.142008, inverse=112.098149, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=f2dc220e symbol=9988.HK pred=112.0981 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[0960.HK] size: 1587 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][0960.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1527, 60, 26) and y=(1527, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [0960.HK] Fitted with 1587 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.013033, inverse=10.472892, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=41aaec0b symbol=0960.HK pred=10.4729 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[3690.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][3690.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [3690.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.093206, inverse=73.644539, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=f12fc5ec symbol=3690.HK pred=73.6445 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
